week,negative,neutral,positive
2026-05-11/2026-05-17,1.0,0.0,0.0
2026-05-18/2026-05-24,0.6666666666666666,0.3333333333333333,0.0
2026-05-25/2026-05-31,0.5,0.3333333333333333,0.16666666666666666
2026-06-01/2026-06-07,0.5,0.3,0.2
2026-06-08/2026-06-14,0.8888888888888888,0.1111111111111111,0.0
2026-06-15/2026-06-21,0.8333333333333334,0.16666666666666666,0.0
2026-06-22/2026-06-28,0.7142857142857143,0.14285714285714285,0.14285714285714285
2026-06-29/2026-07-05,0.6666666666666666,0.2222222222222222,0.1111111111111111
2026-07-06/2026-07-12,0.5,0.3333333333333333,0.16666666666666666
2026-07-13/2026-07-19,0.7857142857142857,0.07142857142857142,0.14285714285714285
2026-07-20/2026-07-26,0.8888888888888888,0.1111111111111111,0.0
2026-07-27/2026-08-02,0.5,0.5,0.0
2026-08-03/2026-08-09,0.75,0.125,0.125
2026-08-10/2026-08-16,0.875,0.125,0.0
